x,y,z
-0.3928,-0.2397,0.9077
-0.3911,-0.3098,0.8923
-0.4062,-0.3562,0.915
-0.3152,-0.2151,0.9419
-0.4841,-0.3645,0.9131
-0.4182,-0.3586,0.8967
-0.4631,-0.2466,0.8967
-0.3594,-0.2852,0.9187
-0.3376,-0.2776,0.9614
-0.3381,-0.2947,1.0288
-0.2048,-0.1926,1.0876
-0.1584,-0.3867,1.094
-0.1809,-0.3835,1.0259
-0.4214,-0.4011,0.9353
-0.5703,-0.3145,0.7483
-0.7805,-0.2585,0.625
-0.7024,-0.2935,0.6208
-0.7642,-0.2341,0.3767
-0.6985,-0.2222,0.2942
-0.6733,-0.3701,0.1475
-0.5171,-0.5967,0.2961
-0.5198,-0.7927,0.2051
-0.5115,-0.99,0.2124
-0.4429,-1.2859,0.2092
-0.552,-1.2952,0.4177
-0.5437,-1.2402,0.5122
-0.5405,-1.2,0.4456
-0.4631,-1.0681,0.4368
-0.6167,-0.9771,0.4304
-0.7095,-0.8794,0.4739
-0.7668,-0.7571,0.4724
-0.8037,-0.6436,0.4597
-0.8025,-0.6235,0.5798
-0.7559,-0.6748,0.5588
-0.7888,-0.8501,0.5249
-0.6865,-1.1147,0.5068
-0.603,-1.2566,0.4429
-0.5039,-1.4158,0.3899
-0.4705,-1.6448,0.3188
-0.4109,-1.6956,0.1709
-0.2427,-1.5369,0.0659
-0.2168,-1.0813,0.0151
-0.24,-0.7327,0.0127
-0.2593,-0.5535,0.0095
-0.1523,-0.5122,-0.0142
-0.1228,-0.5784,-0.0127
-0.199,-0.7366,0.0374
-0.2966,-0.9722,0.1226
-0.3203,-1.488,0.2014
-0.4653,-1.7817,0.1606
-0.6406,-1.5195,0.467
-0.771,-1.4282,0.7607
-0.6099,-1.2126,0.637
-0.4116,-0.8933,0.6313
-0.5884,-0.7068,0.4612
-0.6167,-0.5994,0.4751
-0.6382,-0.6965,0.5112
-0.6406,-0.9285,0.4519
-0.5361,-1.1453,0.4578
-0.4954,-1.4148,0.4148
-0.4495,-1.5295,0.3394
-0.4458,-1.3394,0.1643
-0.3335,-1.5764,0.0635
-0.2715,-1.4116,-0.0132
-0.2253,-1.0627,-0.0293
-0.2625,-0.8123,-0.0879
-0.2268,-0.5994,-0.0859
-0.1846,-0.5911,-0.0383
-0.2083,-0.6868,0.0122
-0.2456,-0.812,0.0603
-0.3171,-1.1262,0.1294
-0.3975,-1.4282,0.167
-0.5076,-1.4236,0.2466
-0.5427,-1.2329,0.4539
-0.5955,-1.24,0.5112
-0.4197,-1.2307,0.5994
-0.4172,-1.0742,0.6145
-0.531,-0.7717,0.5759
-0.5271,-0.6316,0.5918
-0.5037,-0.6726,0.5789
-0.5491,-0.8469,0.479
-0.5696,-1.1868,0.4187
-0.5085,-1.5913,0.3516
-0.4043,-1.3638,0.2522
-0.3413,-1.416,0.1694
-0.311,-1.4976,0.0442
-0.2546,-1.2915,-0.0349
-0.1987,-0.9294,-0.0515
-0.1191,-0.552,-0.1199
-0.0925,-0.554,-0.1086
-0.134,-0.6016,-0.0142
-0.2046,-0.7866,0.012
-0.3123,-1.135,0.0842
-0.3638,-1.5247,0.1594
-0.4998,-1.4656,0.3135
-0.4863,-1.3218,0.7046
-0.5791,-1.3584,0.7104
-0.3718,-1.1606,0.7021
-0.5789,-0.8608,0.5625
-0.5862,-0.6121,0.4949
-0.5461,-0.5854,0.4624
-0.5427,-0.7554,0.4302
-0.6228,-1.1096,0.406
-0.5991,-1.5598,0.3794
-0.3936,-1.4309,0.231
-0.3401,-1.5327,0.199
-0.3225,-1.6082,0.1069
-0.3167,-1.3618,0.0286
-0.2576,-0.9556,-0.0115
-0.1824,-0.6433,-0.0398
-0.0283,-0.5457,-0.1045
-0.0835,-0.5962,-0.0244
-0.1394,-0.6973,0.0002
-0.2322,-0.9976,0.062
-0.3018,-1.3704,0.1287
-0.4546,-1.4524,0.2385
-0.6323,-1.4089,0.5818
-0.7073,-1.3464,0.6672
-0.5317,-1.2422,0.5991
-0.5847,-1.0205,0.5386
-0.6853,-0.739,0.4282
-0.5979,-0.623,0.4219
-0.5503,-0.6846,0.407
-0.575,-0.8606,0.3613
-0.5774,-1.2852,0.4036
-0.4326,-1.553,0.2771
-0.4189,-1.468,0.1514
-0.2803,-1.5391,0.1243
-0.3245,-1.3987,0.0745
-0.293,-1.0222,0.0154
-0.2678,-0.7122,-0.0278
-0.124,-0.5837,-0.0579
-0.0771,-0.55,-0.0686
-0.1746,-0.6609,0.0166
-0.2222,-0.8267,0.0276
-0.2976,-1.2053,0.105
-0.4087,-1.449,0.1782
-0.5757,-1.4104,0.4224
-0.6143,-1.2312,0.6272
-0.5356,-1.3479,0.5359
-0.3982,-1.1682,0.6199
-0.6208,-0.834,0.4878
-0.6213,-0.6118,0.4521
-0.5679,-0.6055,0.4573
-0.6006,-0.824,0.4409
-0.6323,-1.2407,0.4658
-0.4583,-1.4866,0.3296
-0.4016,-1.2498,0.2354
-0.3379,-1.4241,0.156
-0.3325,-1.6182,0.0063
-0.2876,-1.2546,-0.0173
-0.2356,-0.8762,-0.0681
-0.1829,-0.5835,-0.0901
